Cluster ID,Cluster Name,Feature List
1,Feature,"have well feature, have feature"
2,Learning and Grading,"enhance learning, understand grading"
3,Clarify Doubt,"clarify doubt, clarify all doubt"
4,AI Chatbot,"see ai, make ai picture, ask ai, want useful ai, want ai, hate ai, most friendly ai, really awesome ai, ai, well ai, very user friendly ai, exceptionally advanced ai, good ai tool, lovely ai, so far pretty tight ai app"
5,Secure Private Messaging,"more finite chat, delete chat history"
6,Finance Associate Responsibility,"rewrite below finance associate responsibility, rewrite whole thing"
7,Redesigning App,"redesign app3star, upgrade human relation"
8,Copy and Paste,"copy own prompt, copy previous prompt, copy own message, copy ai, copy message man, copy old school, copy own command, copy previously ask question, translate text"
9,Screen Sharing,"post picture, post screenshot"
10,Microsoft Copilot Exploration,"explore application, explore topic, explores use, explore microsoft copilot, discover full potential"
11,Annoying Limitations,"encounter issue, encounter problem, encounters annoying limitation"
12,Chat Features,"enable voice feature, enable chat pin, delete chat feature, chat buddy, still chat history, have chat history, chat gpt"
13,Image Generation,"restore old version, install old version, maintain open and positive attitude, maintain reputation, maintain copilot project update, verify age, verify answer, destroy user interface, destroy fantastic software, destroy layout, destroy app, destroy copilot experience, destroy utility, destroy skype, kill functionality, erase previous chat, spread misinformation, throw email, generate picture, generate ai picture, generate one image, generate beautiful image, generate image, generate text, generate speech, generate response, generate nonsense, generate thing, generate pic, see ai generate text, produce graphic warhammer40k type literature piece, create pic, create beneficial machine, create cool scary picture, create picture, create photo, create image, create single image, create company logo, create new conversation, create exact imagination, create fund commitment, create scene, create more feature, create content, create new chat, create perfect vegetarian diet, create artificial intelligence, create such helpful assistant, create caption, create husk, create as beautiful and precise image, create ai image, buy subscription, resolve issue, manage conversation, acquire information, develop app, enhance user experience, achieve good, assess correctness, learn new thing, teach little sister, introduce bug, bind previous experience"
14,Poor Writing,"write long message, write poor content, write email, write poe, produce both write and sound response"
15,Picture Composition,"have chat or compose option, compose picture, convert q"
16,Virtual Team Communication,"switch history, access chat history, all in all good ai app, presently on go bug, seek human like guide, give much more human like response, find over design ui, rate ai machine, download voice ai app, fix log in page, offer much functionality, offer more comprehensive and engaging interaction, face too many issue, cook meal, good fine tune ai, break app, break microphone option, strike conversation, skip app, collect billing, collect massive amount, very good ai utilization, good ai application, ai useful tool, bad ai app, best ai app, really good ai assistance, absolutely great ai ty microsoft, absolutely awful developmental backwards progress, design new version, helpful friendly eveday task solver, set timer, set image ratio, set two language, use chatgpt, use gpt4, use voice chat, use edge android app, use microsoft proprietary llm, use voice chat function, use previous version, use old web version, use microsoft365app version, use old version, use text, use gemini, use gemini live, use claude, use ai, use ai model, use generative ai, use actual ai, use previous default voice, use voice, use voice conversation, use speech talk, use microphone, use different device, use tool, use old interface, use tablet, use phone, use time, use ms word, use correct key word, use casual tone, use lot, use all thing, use image generation, use voice prompt, use microsoft office, use bing, use other, use other login method, use program, use voice interaction, use software, use different voice option, use voice option, use voice mode, use audio feature, use voice feature, use other service, use chat, use arc search browser, use app, use copilot app, use voice search, use account, use one, use poe, use camera, use google assistant, use different language, use local language, use platform, use g, use more professional alternative, use website, use samsung galaxy s23ultra, use bing or edge version, use websearch, use learning account, use ai image creation, use ai app, use gemini ai, use old version fhen, use microsoft copilot, use university copilot, use copilot, consider range, consider other ai module, provide detailed information, provide false information, provide information, provide great result, provide reference, provide pdf, provide solution, provide simple response, provide many more insight, provide exact answer, provide answer, provide fairly accurate answer, provide most comprehensive answer, provide pro, provide feature, provide app, provide source, support phone, support landscape mode, support why material, add ability, add auto suggestion prompt, add flexibility, add option, add call option, add simple method, add on, add voice, add feature, add new feature, add relevant article, add content, add button, add copy, add like feature, add chat deletion opion, refuse request, attend request, serve purpose, receive message, receive precise and helpful answer, accept response, know previous history, know app, divide conversation, restrict free speech, scan qr code, require more human effort, require force close, charge wrong fee, exceed expectation, type entire question, lack all feature, lack basic feature, lack basic functionality, lack set, understand assignment, understand topic, understand thing, understand style, understand mathematical expression, understand prompt, understand difference, explain problem, explain topic, discuss above statement, discuss topic, describe voice, describe creativity, examine document, identify eye color, make time, make mistake, make expression, make necessary change, make more photo, make picture, make image, make many image, make sense, make argument, make inaccurate calculation, make bad version, make app, make perfect assistant, make widget, make voice call chat, remove copilot button, remove app, remove convenience, remove ability, remove image generation limit, remove thing, remove lot, remove unnecessary vibration feedback, remove antimuckraking protocol, remove share functionality, remove option, remove image file insert, remove prestige experience, remove why remove ability, remove source, remove picture sharing feature, remove notebook feature, remove models ability, make material you theme, disguise significant drop, catch full question, bother people, brings voice, raise error, keep certain information, keep record, keep conversation, keep thing, keep good work, keep great work, appreciate new version, appreciate excellent customer service, prefer slightly robotic tone, prefer original voice, prefer old version, prefer last version, prefer chatgpt, allow political and other question, avoid answer, get feature, get five star, get far well detailed significant and extremely useful response, get natural usefully response, get well qualitive response, get response, get smart reply, get solution, get clarity, get masterpiece, get new friend, get answer, get rapid timely answer, get quick answer, get mathematical answer, get correct answer, get detailed answer, get more accurate answer, get help, get maybe one image, get one picture, get so little use, get pdf upload option, get assistance, get quick data information, get information, get reference, get refund, put thought, put artificial intelligence capability, put relevant picture, put photo, put file, have body, have friend, have office, have great interface, have user friendly interface, have terrible and very uncomfy interface, have new smooth interface, have connection, have less functionality, have ability, have reputation, have intention, have many limitation, have too many restriction, have many restriction, have time limit, have recommendation, have bug, have so many bug, have trouble, have seperate thread, have lot, have intellectual conversation, have conversation, have faux conversation, have voice conversation, have funny conversation, have one continual conversation, have persistent memory, have more voice, have hard time, have time, have promise, have personality disorder, have developmental disorder, have gemini, have serious bias, have disadvantage, have problem, have such problem, have same problem, have support, have voice chat support, have opportunity, have chance, have faith, have mode, have notebook mode, have clear history option, have option, have sense, have battery, have exactly same feature, have more feature, have great feature, have lot more feature, have long list, have update list, have team, have new version, have afew issue, have issue, have same issue, have incorrect age, have unlimite chat, have new chat, have web search, have app, have awesome experience, have good experience, have similar experience, have dark text, have error, have great quality, have off day, have only about an hour, have handsfree function, have way, have interal way, have oddity, have excellent assistant, have difficulty, have fun, have easy language, have english, have interview, have alot, have blast, have large datum, have good internet, have subscription, have more potential, have adhd, have strange broken pronunciation, continue old conversation, continue conversation, continue tradition, continue same chat, see new update, see formula, see text, see more development, see upload image, see response, see opportunity, see conversation, see word, see answer, see many ai bad behaviour, see review, see future, include own addition, include reference, cite reference, bring previous app, bring app, bring old ui, bring separate conversation, bring more news, bring feature, bring old feature, bring sense, bring old type, bring issue, bring last version, bring old version, bring previous version, bring element, bring good ui, leave negative impression, leave room, leave microsoft, leave feedback, take voice command, take detail, take substantial processing power, take ability, take control, take moment, take money, take voice input, take so much functionality, take picture, take photo, take care, take next step, take function, take review, take advice, take copilot text, take all practicality, take offence, take up to about10k char, take screenshot, take earbud, give small200character paragraph, give cool yet informal feature, give more complete response, give excellent response, give good suggestion, give suggestion, give specific detail, give shot, give more than one image, give lot opportunity, give insight, give idea, give purpose, give permission, give instruction, give more personality, give whole wrong script, give option, give setting option, give choice, give lot, give correct thing, give break, give weird answer, give short and clear answer, give wrong answer, give simple answer, give very simple answer, give accurate answer, give answer, give question answer, give proper answer, give bad answer, give long detailed answer, give correct answer, give incorrect answer, give message, give big help, give chance, give vibrant company, give website resource, give user, give command, give more credit, give so much depth, give graphical and mathematical output, give infinite star, give four star, give high rating, give old app, give one pic, give old ui, give copy, give incorrect information, give much information, give election information, give very shallow information, give all information, give most relevant information, give valid information, give even information, give information, give helpful information, give update info, give result, give new result, give correct, give rom hack, give current temp, give verb, give old copiolt, give source, give exact source, admit lack, tell weather, tell all answer, remind old logic, ignore question, forget previous chat, fix response, fix problem, fix image loading time, fix bug, fix thing, fix issue, fix voice search, fix october update, save considerable time, save time, save so much time, save conversation, save money, save image, save random crash, save previous chat, save life, save date, save alot, save datum, help student, enjoy interaction, enjoy application, enjoy work, enjoy ols version, enjoy app, prepare prompt, check input, check work, check fact, check information, check website, read answer feature, read text, read image, read response, read answer, read simple qr code, read mind, pick thing, pick voice, choose voice, unable to talk and listen useless update, affect listen capability, talk politic, follow instruction, follow simple instruction, follow own set, follow one policy, pull picture, pull current datum, turn tool, try solution, try sample, try gpt4, try pay version, find specific conversation, find old feature, find info, find different app, find previous chat, find way, find book title, find suff, not to mention all thing, mention book, not to mention poor sound quality, notice significant improvement, next level searching, pay fee, paid review, ask random question, ask new question, ask scientific and encouraging question, ask programming question, ask question, ask prompt, ask name, ask thing, ask app, ask about2or3question, ask long out put question, ask co pilot, ask copilot, say thing, say same thing, say great app, say voice chat, answer specific question, answer single question, answer simple question, answer complex question, answer most question, answer basic question, answer each and every question, answer all question, do half stuff, do all llm stuff, do all trivial thing, do fraction question, do quite opposite, do code, do excellent job, do great job, do grunt work, do speech button, do certain math equation, do internet search, do incredible downgrade, do art, ruin good product, bait people, it trash, waste money, trash ui, she would alot, need serious checking, need time, need random photo, need intuitive idea, need support, need work, need much work, need talk feature, need feature, need ais bill, need integration, need solution, need improvement, need more improvement, need more function, need way, need app, need widget, need quick quality caption, need very strong internet, need peruam, want accurate info, want tool, want much more direct conversion, want brief answer, want old versionn, want unique chatbot, hate age restriction, hate compulsion, hate app, hate new update, hate politic, need personalized woke voice, force fast paced conversational mode, spend free time, spend time, spend couple, hear generate response, hear response, hear plea, hear app answer, have dyslexia"
17,Customer Feedback,"share incredible experience, share conversation, share full review"
18,Bing App,"go bing website app, download bing app, release broken app"
19,Improve Communication,"improve vic chat, ensure precise communication"
20,Reminders,"remember conversation, remember situation, remember thing"
21,Thank You,"thank microsoft, thank ui designer, salute microsoft, user friendly good ai companion, good ai app, good ai, very good ai, bad ai, impressive ai, great ai"
22,Cancel Subscription,"cancel whole microsoft365subscription, cancel subscription, replace need, replace previous one, replace bing search, replace google search, replace google"
23,Show Pictures,"show lock screen suggestion, show answer, show picture, show amazing picture, show image, show expression, show pic, show reference link, show wrong email"
24,Change Information,"test new model, repeat same information, change image, change color, change audio feedback process, change feature, change mind, change world, change life, change language, change app language, change rating, change title, change layout, change theme, change copilot, so many change"
25,Audio Entertainment,"play full rpg adventure, play speaker, play music, play sample, play storytelling game"
26,Missed Cortana Voice,"miss cortana voice, miss pro female voice, miss old one, miss previous version, miss old version, miss part"
27,Image Sharing,"send picture, send photo, send image, send message, send datum"
28,Copilot,"bring old copilot, bring original copilot, enjoy copilot, make copilot, get copilot, kill copilot, destroy copilot, prefer copilot, break copilot, want old copilot, choose copilot"
29,Secure Video Conferencing,"recommend copilot pro, recommend one"
30,Voice Commands,"stand voice, speak spanish"
31,Asserting Boundary Conditions,"assert boundary, imply fact"
32,Solving Problems,"solve problem, solve daily task, solve equation, solve many minor daily issue, solve issue, solve math"
33,Software,"love multicolored mixture, love ai buddy, love ui design, love graphic, love new interface, love software, love quick support, love microsoft co, love ai, love old co pilot, love old version, love free version, love previous version, love new app, love overall experience, love new look, love new update, love new ui, love new copilot"
34,App Update,"like update version, update app, update pixel8, update copilot"
35,Start a New Conversation,"start voice conversation, start drone, start trial, start new topic, start new chat"
36,Build Knowledge,"build idea, build knowledge, build relationship, build real stargate"
37,Appreciation and Training,"express appreciation, train ai"
38,Lose Chat History,"lose context, lose great functionality, lose previous conversation, lose personality, lose friend, lose all privacy, lose huge chunk, lose access, lose war, lose important part, lose chat history, lose history, lose liveliness, lose gpt4, lose all chat history"
39,Like App,"like correct information, correct wrong information, like late update, like update, like new pilot update, like new update, ruin own glory, like nice experience, like interface, like new interface, like old interface, lack reasoning ability, use application, fulfil all request, bookmark conversation, end conversation, like default voice, recognise local script, paste ai result, switch ai char bot, like image generator, proper human like interaction, paste thing, like fact, it just1long list, copilot id, have own disadvantage, support latex equations, like new redesign, like previous design, like answer, like new look, only pro be sign, fulfill user need, block chat, like google, miss feature, like feature, strip out feature, like original version, like late version, like new version, like version, like old version, update review, upload final report, have soo many issue, quote local govern or applicable government site, like copilot app, like new app, free ai app, view app, force app, grate app, like app, upload pdf file, like new ui, miss promt edit and copy option, walk alo griver bank"
40,File Upload,"upload picture, upload unlimited picture, upload photo, upload image, upload pic, upload small file, upload as many file"
41,Streamlining,"streamline work, streamline research, streamline goal"
42,Appointment Scheduling,"set apppintment, and set"
43,Private Messaging,"great but need, need more token"
44,Greeting,"say good morning, say time"
45,Time Consuming,"take time, take lot"
46,Provide Support,"give such help, give advise"
47,Microsoft,"go microsoft, go gpt40feature, go long way"
48,Audio/Video Use,"use mic, use co"
49,Update,"update, do update"
50,UI/UX Design,"change ui, change aesthetic, change"
51,Copilot,"purchase copilot pro, like copilot"
52,Positive Emotion,"thank lot, thank, so thank, well thank"
53,Writing and Publishing,"write book, write review, write promt"
54,Microsoft Copilot,"love transformation, love microsoft, love copilot, love last version"
